valence,arousal,mood_top,mood_top_score,clap_top1,clap_top1_score,clap_top2,clap_top2_score,clap_top3,clap_top3_score,mood_acoustic,mood_aggressive,mood_electronic,mood_happy,mood_party,mood_relaxed,mood_sad,prose,filename
-1.1557,0.0914,mood_electronic,0.9711,chase adrenaline,0.4285,digital chill,0.3551,glacial drift,0.3411,0.0220,0.6134,0.9711,0.0701,0.0845,0.6064,0.9191,"The track drags the listener into a cold, detached drift, where a relentless, digital chill turns every beat into a slow, frozen surrender of sorrow.",Infected mushroom - Institute of science.mp3
-1.1414,0.0866,mood_electronic,0.9938,warehouse rave delirium,0.1233,transcendent and weightless,0.1124,chase adrenaline,0.0995,0.0029,0.4435,0.9938,0.0440,0.2097,0.5666,0.9637,"Melancholic delirium swirls like a warehouse rave, pulling the listener into a digital trance. The tension feels both aggressively weightless and ecstatically surrendering.",Infected Mushroom - Change The Formality.mp3
-1.2432,0.0772,mood_electronic,0.9958,ecstatic surrender,0.2338,vintage decay,0.2276,freeway hypnosis,0.2242,0.0028,0.7585,0.9958,0.0913,0.0837,0.7651,0.9552,"An aching sorrow drips through, tempered by a fierce resolve that keeps the pulse steady. The mood feels like a quiet, angry lament, lingering in a dark, reflective space.",Infected Mushroom & Astrix - Astrix on Mushrooms.mp3
-1.0532,0.0726,mood_electronic,0.9953,desert hallucination,0.2855,giddy infatuation,0.2779,defiant against decay,0.2530,0.0040,0.2334,0.9953,0.0222,0.2570,0.4178,0.9586,"A desert hallucination emerges, interwoven with a flicker of infatuation and a defiance against decay, all wrapped in sorrow.",Infected Mushroom - Albibeno [HQ].mp3
-1.2947,0.0630,mood_electronic,0.9961,chase adrenaline,0.3367,digital chill,0.3004,warehouse rave delirium,0.2539,0.0025,0.8110,0.9961,0.0599,0.0130,0.7610,0.9491,"The track’s aggression pushes into a chase of adrenaline, echoing a cavern of dread that refuses to calm.",Infected_Mushroom_-_Slowly[www.MP3Fiber.com].mp3
-1.1458,0.0626,mood_electronic,0.9878,chase adrenaline,0.2429,warehouse rave delirium,0.2265,wedding ecstasy,0.2259,0.0058,0.4988,0.9878,0.0707,0.1829,0.6191,0.9671,"Sadness threads through the rhythm, while adrenaline and aggression surge in bursts that alternate with relaxation, leaving a surrender that echoes dread.",Infected_Mushroom_-_Ratio_Shmatio[www.MP3Fiber.com].mp3
-0.5358,0.0544,mood_sad,0.7983,transcendent and weightless,0.2736,glacial drift,0.2667,nostalgic for something that never happened,0.2596,0.1919,0.0808,0.7842,0.3029,0.3732,0.3997,0.7983,"A quiet ache of longing drifts like cold ice across the mind, carrying a wistful nostalgia for a vanished moment.",Infected Mushroom - Bust A Move [HQ].mp3
-1.1047,0.0434,mood_electronic,0.9848,heist suspense,0.3428,chase adrenaline,0.3379,ecstatic surrender,0.3067,0.0079,0.3826,0.9848,0.0201,0.0293,0.3685,0.9335,"Suspense drips from every beat, adrenaline lingers in the chase, and an ecstatic surrender follows, all wrapped in sadness.",Yahel & Infected Mushroom - Electro Panic (Azax x Boombastix Remix) [Official Audio].mp3
-0.9576,0.0208,mood_electronic,0.9787,freeway hypnosis,0.1946,clenched-jaw tension,0.1746,playful and unhinged,0.1665,0.0209,0.3767,0.9787,0.0980,0.1952,0.5510,0.8672,"Freeway hypnosis pulls the mind into orbit, clenched‑jaw tension rises, playful and unhinged sparks flare, and wedding ecstasy and giddy infatuation echo in the background.",Infected Mushroom - Kazabubu [HQ Audio].mp3
-1.0488,0.0095,mood_electronic,0.9332,digital chill,0.3870,chase adrenaline,0.3047,neon-lit lust,0.3047,0.0243,0.4537,0.9332,0.0909,0.0741,0.5183,0.9128,"A cold pulse lingers, its digital chill underscoring quiet desperation, restrained intensity that feels both haunted and detached.",Infected_Mushroom_-_Demons_of_Pain_Remix_ᴴᴰ[www.MP3Fiber.com].mp3
-1.0115,0.0009,mood_electronic,0.9655,warehouse rave delirium,0.3634,chase adrenaline,0.3175,heist suspense,0.3062,0.0179,0.4181,0.9655,0.1283,0.0440,0.4612,0.9307,"A pulse of tension and sorrow swirls in a soundscape, its intensity balanced by melancholy.",Infected Mushroom - New World Order.mp3
-1.2102,-0.0028,mood_electronic,0.9927,warehouse rave delirium,0.2060,chase adrenaline,0.2015,transcendent and weightless,0.1872,0.0022,0.6169,0.9927,0.0565,0.0238,0.6435,0.9582,"An anxious, propulsive dread swirls into a warehouse rave delirium, its weightless, transcendent moments punctuated by a fierce chase of adrenaline that feels both aggressive and oddly relaxed, all underscored by a lingering sadness.",Infected Mushroom The Legend of the Black Shawarma.mp3
-1.3172,-0.0031,mood_electronic,0.9986,warehouse rave delirium,0.3355,chase adrenaline,0.3259,transcendent and weightless,0.2892,0.0004,0.7531,0.9986,0.0484,0.0459,0.8021,0.9891,"Adrenaline chases the listener into warehouse rave delirium, leaving a sense of ecstatic surrender that feels transcendent and weightless.",Infected Mushroom - Over Mode.mp3
-0.9332,-0.0113,mood_electronic,0.9869,digital chill,0.3619,chase adrenaline,0.3252,sinner relish,0.2662,0.0182,0.5960,0.9869,0.3199,0.1642,0.7715,0.9551,"An unsettling, electronically drenched melancholy lingers over a calm, digital chill, while a restless yearning for adrenaline flickers beneath.",Infected_Mushroom_-_I_Wish_Original[www.MP3Fiber.com].mp3
-1.1850,-0.0238,mood_electronic,0.9849,playful and unhinged,0.0948,digital chill,0.0747,vintage decay,0.0694,0.0045,0.7875,0.9849,0.1770,0.0112,0.8225,0.9683,"A haunting blend of melancholy and defiant energy, the track feels both mournful and unhinged.",Infected Mushroom - End Of The Road.mp3
-1.0305,-0.0265,mood_electronic,0.9944,digital chill,0.4238,chase adrenaline,0.4061,wedding ecstasy,0.3497,0.0066,0.4757,0.9944,0.1407,0.1185,0.6207,0.9334,"A chill settles into a pulse of chase adrenaline, while wedding ecstasy and surrender ripple beneath, neon lights framing a sense of sorrow that sways with a pulse of aggression.",Infected Mushroom - Walking On The Moon.mp3
-1.1998,-0.0401,mood_sad,0.9587,chase adrenaline,0.4832,wedding ecstasy,0.3990,breakup numbness,0.3563,0.0151,0.7565,0.8750,0.1372,0.0320,0.8285,0.9587,"Chase adrenaline collides with breakup numbness, while wedding ecstasy and playful and unhinged energy drift in a digital chill.",Infected Mushroom - More Than Just a Name [Minimix].mp3
-1.0469,-0.0456,mood_electronic,0.9647,heist suspense,0.2713,warehouse rave delirium,0.2698,unstable euphoria,0.2387,0.0161,0.3674,0.9647,0.0724,0.0449,0.4578,0.9356,"A heist suspense rises into an unstable euphoria, leaving the listener in ecstatic surrender, while a low, somber pulse lingers beneath.",Infected Mushroom - Merlin (Remix).mp3
-1.0813,-0.0561,mood_electronic,0.9861,wedding ecstasy,0.3723,desert hallucination,0.3709,chase adrenaline,0.3694,0.0035,0.3322,0.9861,0.0463,0.1354,0.5238,0.9615,"Loss, longing, and a chill settle into the listener, an ache that drifts through a desert of silence.",Infected_Mushroom_-_Meduzz[www.MP3Fiber.com].mp3
-1.0422,-0.0576,mood_electronic,0.9876,chase adrenaline,0.3940,digital chill,0.3428,ecstatic surrender,0.2826,0.0029,0.5121,0.9876,0.1857,0.1091,0.6787,0.9718,"It chases adrenaline, dissolves into surrender, and settles into a warehouse rave delirium that carries sadness and a hint of aggression. The pulse rides a surface that hides an aggression resonating with sadness.",Infected Mushroom - Eat It Raw.mp3
-0.4975,-0.0615,mood_sad,0.7551,sneering swagger,0.3703,neon-lit lust,0.3282,giddy infatuation,0.2833,0.0691,0.2806,0.7025,0.3979,0.2715,0.6136,0.7551,"Sneering swagger and neon‑lit lust collide with quiet yearning that drifts through the electronic backdrop, creating a portrait of subdued sorrow.",Infected Mushroom - See Me Now [HQ Audio].mp3
-0.8489,-0.0703,mood_electronic,0.9956,digital chill,0.2426,unstable euphoria,0.2400,heist suspense,0.2365,0.0143,0.0957,0.9956,0.0552,0.1640,0.3300,0.8563,"It feels like a quiet, sorrowful thrill, a fragile anticipation wrapped in a digital haze.",Infected Mushroom - Trance Party [HD].mp3
-1.3371,-0.0746,mood_electronic,0.9992,wedding ecstasy,0.3461,warehouse rave delirium,0.3386,transcendent and weightless,0.3259,0.0004,0.7512,0.9992,0.0256,0.0102,0.8360,0.9871,"A bruised, aggressive resonance drips through, its electronic undercurrent weaving melancholy that feels both unsettled and strangely calm, like a sorrowful celebration.",Infected Mushroom - Army of Mushrooms mix [HD].mp3
-1.1209,-0.0940,mood_electronic,0.9859,chase adrenaline,0.3055,ecstatic surrender,0.2491,revolutionary ardor,0.2461,0.0036,0.7409,0.9859,0.2212,0.0309,0.8657,0.9717,"A relentless, sorrowful pulse of defiant longing intertwines with a quiet, almost comforting surrender, leaving the listener caught between anguish and a strange, almost serene resolve.",Infected Mushroom - Sailing in the Sea of Mushroom [HQ].mp3
-0.9280,-0.0991,mood_electronic,0.9810,chase adrenaline,0.3928,wedding ecstasy,0.3053,warehouse rave delirium,0.2781,0.0212,0.3827,0.9810,0.1579,0.1148,0.5966,0.8945,"It pulls at a chase of adrenaline, while sadness lingers amid tension and a hint of aggression. The emotional landscape moves between a pulse and an ache.",Infected Mushroom - Kafkaf [HQ Audio].mp3
-1.0621,-0.1048,mood_electronic,0.9961,chase adrenaline,0.2345,digital chill,0.2286,heist suspense,0.2048,0.0045,0.4054,0.9961,0.0923,0.0371,0.5473,0.9517,"It pulls you into a chase of adrenaline that dissolves into digital chill, while a heist of suspense keeps the tension high. The result is a transcendent weightlessness that feels both melancholy and detached.",Infected Mushroom - Who Is There_.mp3
-0.9066,-0.1171,mood_electronic,0.9798,digital chill,0.1460,chase adrenaline,0.1187,unstable euphoria,0.1079,0.0197,0.1570,0.9798,0.0850,0.0612,0.3353,0.9131,"Melancholy drifts, digital chill and swamp gloom merging into a hollow echo that feels like a chase of adrenaline.",Infected mushroom- Deeply disturbed.mp3
-1.1383,-0.1185,mood_electronic,0.9871,chase adrenaline,0.2912,wedding ecstasy,0.2518,transcendent and weightless,0.2517,0.0026,0.4900,0.9871,0.0868,0.1030,0.7115,0.9801,"A quiet ache lingers after a fleeting celebration, a restless longing wrapped in gentle surrender.",Infected Mushroom - Virtual Voyage.mp3
-1.2359,-0.1302,mood_electronic,0.9873,chase adrenaline,0.3817,wedding ecstasy,0.3673,warehouse rave delirium,0.3493,0.0055,0.7450,0.9873,0.1005,0.0059,0.8812,0.9639,"It feels like a chase of adrenaline, a surrender that drifts into a realm of cold, aggression, and relaxation.",Infected Mushroom - Bass Nipple.mp3
-1.1623,-0.1443,mood_electronic,0.9991,warehouse rave delirium,0.3630,ecstatic surrender,0.2751,chase adrenaline,0.2671,0.0008,0.3693,0.9991,0.0108,0.0890,0.6026,0.9885,"A relentless, anxious propulsive dread drags the listener into a warehouse rave delirium, where ecstatic surrender collides with a chase of adrenaline.",Infected Mushroom - Intelligate.mp3
-1.1095,-0.1476,mood_electronic,0.9927,chase adrenaline,0.2525,wedding ecstasy,0.2349,sinner relish,0.2096,0.0040,0.5099,0.9927,0.1099,0.0445,0.7020,0.9645,"A quiet, aching resonance pulls the listener into a resigned sorrow, while an undercurrent of restless, dark yearning flickers beneath the surface.",Infected Mushroom - Return Of The Shadows.mp3
-0.8777,-0.1491,mood_electronic,0.9919,chase adrenaline,0.1767,playful and unhinged,0.1593,sardonic humor,0.1387,0.0013,0.7530,0.9919,0.4771,0.0407,0.9428,0.9783,"Sardonic humor and an adrenaline chase thread through a sorrow, with ardor simmering beneath a relaxed surface.",Infected Mushroom - Forgive Me.mp3
-0.9695,-0.1675,mood_electronic,0.9859,wedding ecstasy,0.2613,transcendent and weightless,0.2459,chase adrenaline,0.2239,0.0017,0.7587,0.9859,0.3682,0.0050,0.9313,0.9584,"Anguish and aggression collide in a bleak electronic tableau, each beat a reminder of sorrowful resignation. The tension lingers, a quiet acceptance beneath the relentless pulse.",Infected Mushroom - Nation Of Wusses [1080p].mp3
-0.8101,-0.1935,mood_electronic,0.9808,chase adrenaline,0.2048,digital chill,0.1567,wedding ecstasy,0.1509,0.0059,0.6380,0.9808,0.4555,0.0267,0.8582,0.9467,"A chase of adrenaline folds into a surrender, leaving a sense of sadness that remains in a space of stillness.",Infected Mushroom - Selecta.mp3
-0.8681,-0.2041,mood_electronic,0.9761,sleazy lounging,0.3166,giddy infatuation,0.2900,digital chill,0.2863,0.0174,0.2097,0.9761,0.1154,0.1806,0.5944,0.8787,"It drifts through a digital lounge of sorrow, chasing adrenaline while staying in calmness.",Infected Mushroom - She Zoremet (2015).mp3
-1.2117,-0.2098,mood_electronic,0.9952,warehouse rave delirium,0.2469,transcendent and weightless,0.2207,chase adrenaline,0.2206,0.0012,0.5704,0.9952,0.0483,0.0080,0.7882,0.9748,"Sorrow grips the track, while a pulse pulls the listener into a trance of melancholy that lingers. The feeling carries an edge of aggression yet a sense of calm.",Infected Mushroom - Wider.mp3
-0.9745,-0.2123,mood_electronic,0.9232,chase adrenaline,0.3512,warehouse rave delirium,0.3314,ecstatic surrender,0.2938,0.0440,0.3042,0.9232,0.0999,0.1398,0.6563,0.9223,"A chase adrenaline pulse collides with warehouse rave delirium, then dissolves into ecstatic surrender and chill, echoing sadness.",Infected Mushroom - Symphonatic.mp3
-0.9932,-0.2137,mood_electronic,0.9980,transcendent and weightless,0.4169,warehouse rave delirium,0.3974,heist suspense,0.3880,0.0069,0.1180,0.9980,0.0108,0.0567,0.3883,0.9449,"It spirals into a transcendent and weightless sorrow, where the faint hum of heist suspense lingers and a flicker of unstable euphoria hints at a desperate longing.",Infected Mushroom - AI Therapist.mp3
-0.8596,-0.2188,mood_electronic,0.9768,playful and unhinged,0.2252,sleazy lounging,0.2229,neon-lit lust,0.2203,0.0168,0.2080,0.9768,0.1230,0.1753,0.6021,0.8786,"A melancholy, neon‑lit longing swirls around a playful, unhinged haze. The atmosphere remains relaxed, yet the sadness keeps it from ever fully brightening, wrapped in a digital chill.",Infected_Mushroom_-_She_Zoremet_2015[www.MP3Fiber.com].mp3
-1.0450,-0.2245,mood_electronic,0.9979,warehouse rave delirium,0.1986,ecstatic surrender,0.1846,transcendent and weightless,0.1761,0.0017,0.1779,0.9979,0.0241,0.0686,0.4710,0.9802,"The track drifts into a sorrowful trance, slipping between ecstatic surrender and warehouse rave delirium. It leaves the listener suspended in a weightless, melancholy void, with a faint chase adrenaline keeping the sorrow from settling.",Infected Mushroom - Tommy The Bat.mp3
-0.4604,-0.2258,mood_sad,0.7627,playful and unhinged,0.2426,wedding ecstasy,0.1792,sardonic humor,0.1489,0.0933,0.1562,0.6373,0.3805,0.1854,0.5674,0.7627,"A quiet, sardonic lament drifts through, its playful unhinged spirit masking a deep melancholy. The mood feels like a wedding ecstasy gone awry, a subtle rebellion in its silence.",Infected_Mushroom_-_Blink[www.MP3Fiber.com].mp3
-1.0609,-0.2273,mood_electronic,0.9938,transcendent and weightless,0.2192,anxious propulsive dread,0.2149,subterranean dread,0.2028,0.0019,0.3537,0.9938,0.0677,0.0388,0.6197,0.9517,"Transcendent and weightless dread flows, anxious propulsive dread rises, and subterranean dread settles.",Infected Mushroom - Zahadum.mp3
-1.0945,-0.2312,mood_electronic,0.9864,playful and unhinged,0.3258,chase adrenaline,0.2876,wedding ecstasy,0.2626,0.0012,0.5459,0.9864,0.1544,0.0077,0.7848,0.9759,"Chaos hums beneath a laugh that cuts through sorrow, while adrenaline pulse echoes in a chase that never ends, and stillness lingers.",Infected Mushroom & Hope 6 - Where Do I Belong.mp3
-0.9170,-0.2362,mood_electronic,0.9767,chase adrenaline,0.2894,wedding ecstasy,0.2834,digital chill,0.2596,0.0132,0.2917,0.9767,0.1863,0.0888,0.6166,0.9575,"A deep sadness permeates the piece, punctuated by fleeting bursts of restless adrenaline and playful, unhinged energy, all wrapped in a detached digital chill that drifts over a desert hallucination.",Infected Mushroom - Franks.mp3
-1.1146,-0.2415,mood_electronic,0.9960,wedding ecstasy,0.2795,digital chill,0.2334,chase adrenaline,0.2314,0.0049,0.4491,0.9960,0.0540,0.0107,0.7014,0.9440,"Sadness drifts through a digital chill desert hallucination, chasing adrenaline while playfulness and unhingedness echo a wedding ecstasy, settling into relaxation.",Infected Mushroom - Mambacore.mp3
-1.0852,-0.2749,mood_electronic,0.9910,wedding ecstasy,0.0939,playful and unhinged,0.0788,chase adrenaline,0.0521,0.0049,0.6103,0.9910,0.1712,0.0051,0.8903,0.9513,"Wedding ecstasy clashes with chase adrenaline, threading sadness through aggression. Silence drifts, echoing sorrow.",Infected Mushroom - The French [HQ Audio].mp3
-0.5693,-0.2803,mood_sad,0.8648,chase adrenaline,0.4127,playful and unhinged,0.3873,wedding ecstasy,0.3820,0.0755,0.1825,0.7602,0.3868,0.1510,0.6138,0.8648,"A sorrowful, unhinged pulse drifts through a sardonic haze, echoing a quiet, rebellious energy that feels like a bittersweet celebration trapped in an electronic void.",הדג נחש ואינפקטד מאשרום - ליגל אייז _ Hadag Nahash & Infected Mushroom - Legal Eyes.mp3
-0.9212,-0.3169,mood_electronic,0.9934,warehouse rave delirium,0.2026,wedding ecstasy,0.1290,transcendent and weightless,0.1270,0.0030,0.1577,0.9934,0.1035,0.0280,0.5026,0.9458,"A sorrowful, weightless trance that drifts into ecstatic surrender, with a quiet sadness lingering beneath a calm, almost trance‑like delirium.",Infected Mushroom - Waves of Sound.mp3
-1.0504,-0.4583,mood_electronic,0.9976,digital chill,0.3965,boudoir intimacy,0.3682,sleazy lounging,0.3485,0.0027,0.2926,0.9976,0.0645,0.0328,0.7837,0.9685,"Digital chill swirls with boudoir intimacy and sleazy lounging, a chase of adrenaline that dissolves into ecstatic surrender, all underscored by a sense of electronic sorrow.",Infected Mushroom - Kogy.mp3
-0.8425,-0.5058,mood_electronic,0.9961,digital chill,0.2755,wedding ecstasy,0.2148,ecstatic surrender,0.2058,0.0059,0.2314,0.9961,0.2154,0.0474,0.7846,0.9421,"A quiet, sorrowful surrender drifts through the track, its digital chill echoing a gentle, introspective sadness. The relaxed mood lingers, hinting at an intimate longing that feels almost wistful.",Infected Mushroom - Stretched.mp3
